norm	err	mdz	err
12.5592	2.18003e-06	0	0	
0.00791314	6.96995e-06	0.00675414	6.76859e-06	
0.755153	3.4053e-05	0.0069319	5.11564e-06	
0.00790719	4.47421e-06	0.0070621	4.30359e-06	
0.0235224	7.5768e-06	0.0072647	3.84417e-06	
0.0079102	3.57966e-06	0.00743596	3.51222e-06	
0.0417392	8.02556e-06	0.00751058	3.24801e-06	
0.00791101	3.07448e-06	0.00753253	3.02382e-06	
0.0111897	3.57397e-06	0.00757637	2.84385e-06	
0.00791668	2.73915e-06	0.00763427	2.70753e-06	
0.0151005	3.74811e-06	0.00766228	2.57884e-06	
0.00791292	2.49577e-06	0.00766955	2.46882e-06	
0.00916004	2.62508e-06	0.00768756	2.37396e-06	
0.00791349	2.31349e-06	0.00771125	2.29334e-06	
0.0103861	2.61168e-06	0.00773179	2.21691e-06	
0.00791515	2.16425e-06	0.00773595	2.14681e-06	
0.00855389	2.2001e-06	0.0077454	2.08348e-06	
0.00791416	2.04178e-06	0.00775717	2.02771e-06	
0.0089407	2.13625e-06	0.0077691	1.97757e-06	
0.00791405	1.93958e-06	0.00777181	1.92707e-06	
0.00828343	1.95098e-06	0.00778017	1.88702e-06	
0.00791733	1.85309e-06	0.0077887	1.84215e-06	
0.00841269	1.87994e-06	0.00779456	1.80502e-06	
0.00791721	1.77972e-06	0.00779984	1.77015e-06	
0.00815849	1.77496e-06	0.00780148	1.73479e-06	
0.00791712	1.71278e-06	0.00780804	1.70418e-06	
0.00816091	1.71205e-06	0.00781592	1.67402e-06	
0.00791645	1.65196e-06	0.00781667	1.64451e-06	
0.00807816	1.64365e-06	0.00782121	1.61696e-06	
0.00792068	1.60115e-06	0.00782622	1.59393e-06	
0.0080535	1.59276e-06	0.00783585	1.57157e-06	
0.00792804	1.55492e-06	0.00784107	1.54858e-06	
0.00805459	1.55004e-06	0.00784855	1.53038e-06	
0.00793568	1.51424e-06	0.00785218	1.50806e-06	
0.00801019	1.50427e-06	0.00787017	1.49225e-06	
0.00795224	1.47928e-06	0.00787588	1.47408e-06	
0.008054	1.47143e-06	0.00789534	1.45744e-06	
0.00797734	1.44594e-06	0.00790269	1.44067e-06	
0.008026	1.43298e-06	0.00792468	1.42507e-06	
0.00801937	1.41887e-06	0.00795057	1.41427e-06	
0.00807602	1.40708e-06	0.00793974	1.39604e-06	
0.00803982	1.38997e-06	0.0079718	1.38532e-06	
0.00800103	1.37014e-06	0.00792532	1.36457e-06	
0.00801537	1.36209e-06	0.00795374	1.35798e-06	
0.00799856	1.34049e-06	0.0078898	1.33225e-06	
0.00801747	1.33416e-06	0.00795638	1.33001e-06	
0.007972	1.31499e-06	0.00790915	1.31075e-06	
0.00854448	1.39799e-06	0.00848521	1.39406e-06	
