norm 	err_norm	mdz 	err_mdz
12.5591	2.22256e-06	0	0
0.00768955	6.67394e-06	0.00638048	6.40442e-06
0.750142	3.50975e-05	0.00682394	4.95341e-06
0.00767807	4.30996e-06	0.00683402	4.13598e-06
0.0236522	7.49697e-06	0.0070148	3.68027e-06
0.00768489	3.44971e-06	0.00722245	3.38429e-06
0.0408605	7.64772e-06	0.00727869	3.11778e-06
0.00767933	2.96284e-06	0.00730082	2.9108e-06
0.0110573	3.49877e-06	0.00733646	2.73017e-06
0.00767182	2.63292e-06	0.00739204	2.60005e-06
0.0146134	3.61547e-06	0.00743107	2.48355e-06
0.00768278	2.3965e-06	0.00744043	2.36991e-06
0.00896749	2.55524e-06	0.00745365	2.2908e-06
0.00767826	2.22229e-06	0.00747937	2.20172e-06
0.0100029	2.50992e-06	0.00749085	2.13476e-06
0.00767494	2.08272e-06	0.00749729	2.065e-06
0.00832797	2.12774e-06	0.0075062	2.00346e-06
0.00767491	1.96046e-06	0.00751982	1.94578e-06
0.00862389	2.05064e-06	0.00753203	1.90222e-06
0.00767579	1.86795e-06	0.00753613	1.8551e-06
0.00804505	1.87605e-06	0.00754189	1.80889e-06
0.00768003	1.78258e-06	0.00755313	1.77145e-06
0.0081245	1.80362e-06	0.00755849	1.73419e-06
0.00768265	1.71203e-06	0.00756671	1.70294e-06
0.00791278	1.70666e-06	0.00756287	1.66587e-06
0.0076823	1.64391e-06	0.00757453	1.63503e-06
0.00789179	1.64331e-06	0.00757836	1.60846e-06
0.00768121	1.59103e-06	0.00758268	1.5835e-06
0.00783537	1.58672e-06	0.00758782	1.56044e-06
0.00768149	1.54003e-06	0.00758779	1.53266e-06
0.00780261	1.53403e-06	0.00760455	1.51458e-06
0.00768921	1.49638e-06	0.00760369	1.48982e-06
0.00780675	1.48805e-06	0.0076133	1.46951e-06
0.00770059	1.46e-06	0.0076178	1.45358e-06
0.00776544	1.44542e-06	0.00763656	1.43454e-06
0.00771629	1.42361e-06	0.00764125	1.41843e-06
0.00781492	1.41675e-06	0.00766708	1.40311e-06
0.00774726	1.39275e-06	0.00767312	1.3874e-06
0.00778734	1.38064e-06	0.00769179	1.37277e-06
0.00779378	1.36967e-06	0.00772615	1.36523e-06
0.00783582	1.35573e-06	0.00771164	1.34536e-06
0.00780638	1.3397e-06	0.00773878	1.33481e-06
0.00775835	1.31613e-06	0.00768501	1.31105e-06
0.00776583	1.31019e-06	0.00770577	1.30635e-06
0.00773276	1.28534e-06	0.00763516	1.27772e-06
0.00783717	1.2959e-06	0.00777544	1.29163e-06
0.00776584	1.26888e-06	0.00770404	1.2644e-06
0.0082616	1.34335e-06	0.00820431	1.33969e-06
